Track title,track lyrics,Release Year,composer ,Lyricist
ببلدي الاول,ببلدي الأول رحبوا في .. وقالوا كتير    اشتاقواعلي ببلدي الأول حوم الحمام صار علي يفي وعمل لي شمسية   لوحوا بإيديهن سألوني إذا فايقة عليهن سألوني سكبوا الورد وسقيوني ببلدي الأول آه ببلدي ببلدي الأول .. رجعت بنت صغيرة أركض ع الطرقات واشوف السما كبيرة ببلدي الأول رجعت الإيام ورجعت مشاويري من جيرة لجيرة    لوحوا بإيديهن سألوني إذا فايقة عليهن سألوني سكبوا الورد وسقيوني ببلدي الأول آه ببلدي وصوتك ندهني حملت حالي وجيت قاللي اتركي أهلك حملت حالي وجيت أنا عندي وطنين هواهن بكاني وطني الأول كبرني ورباني وعـــــيونك حــبيبي يــــــا حبيبي عيونك يا حبيبي وطني التاني      لوحوا بإيديهن سألوني إذا فايقة عليهن سألوني سكبوا الورد وسقيوني ببلدي الأول آه ببلدي رجعت الملكة سعد الملك ضحكت المملكة  وضحك الملك عصفورين عا غصن التقوا عاغصن الزواج عالحب التقوا الملك والملكة بنتركهم يتبادلوا كلام المحبة للملك والملكة,1972,الأخوين رحباني,الأخوين رحباني
برجك عيد,برجك عيد بالبيارق طاير تسلم ايد علت هالعماير خدني و طير عجبال العلية مجد كبير عم شوفه بعيني خير كتير و مواسم غنية ونواطير عالداير عالداير يا خيال إلعب عالحفافي بين جبال فيها الدهر غافي صوت رجال بيقول لك عوافي والشلال يهدر بالبشاير,1974,الأخوين رحباني,الأخوين رحباني
بعثت لك روحي,بعثت لك يا حبيب الروح بعثت لك روحي وقلت لك مادام حتروح خد معاك روحي أنا خايفه ودي لك قلبي وتكون ناسيني و ناسي حبي أنا عاشقة دايماً يا حبيبي روحي ف إيدك يا حبيبي,1970,زياد الرحباني,زياد الرحباني
بكى هواك,بكى هواك على غناء قيثاري متى أراك على طريق داري يا حبيبَيا مـداه في نشيدي ووراء شرودي  ألـقـــاه وفي غـناه حكى هــواه ألا تعود على هناء تلقاني لنا وعود لنا مكان هاني يا بعيد المزار ياصديق سأعيش وعمري  قيثار بكى هواك بكى هواك,1955,بيغي لي,الأخوين رحباني
بيسان,كانت لنا من زمان بيارةُ جميلة و ضيعة ظليلة ينام في أفيائها نيسان ضيعتنا كان أسمها بيسان خذوني إلى بيسان إلى ضيعتي الشتائية هناك يشيع الحنان على الحفافي الرمادية خذوني إلى الظهيرات إلى غفوة عند بابي هناك مدت علات أعانق صمت التراب أذكر يا بيسان يا ملعب الطفولة أفيائك الخجولة و كل شئ كان بابٌ و شباكان بيتنا في بيسان خذوني مع الحساسين إلى الظلال التي تبكي رفوف من العائدين على حنين لها تحكي خذوني إلى بيسان,1956,الأخوين رحباني,الأخوين رحباني
بيتي انا بيتك,"بيتي أنا بيتك وما الي حدا من كتر ماناديتك وسع المدى نطرتك ع بابي وع كل البواب كتبتلك عذابي ع شمس الغياب لاتهملني لاتنساني ماالي غيرك لاتنساني بلدي صارت منفى طرقاتي غطاها الشوك والاعشاب البرية ابعتلي بهاالليل من عندك حدا يطل عليي لاتهملني لاتنسان ياشمس المساكين من أرض الخوف منندهلك
ياشمس المساكين من أيام المظلومين من لفتات الموعودين عم اندهلك خلي يضوي صوتك عليي وأنا عالوعد وقلبي طاير صوبك غنية أنا زهرة من زهورك باركني ساعدني بالدمع بتزرعني بالفرح بتحصدني عدلك فاض عليي كرمك ضواني اذا كلن نسيوني وحدك مابتنساني ناديتك من حزني عرفت انك معي وسعي يا مطارح ويا أرض اركعي",1972,الأخوين رحباني,الأخوين رحباني
بيتنا في الجزيره,بيتنا في الجزيرة على ضفاف النيل أفيائه الوثيرة ينسجها النخيل شباكه مُولّه بالفلك المطلة مقبلةً من عَبر بعيد تمر من أمامي بيضاء كالغمامي أجنحةٌ في موكب سعيد بيتنا في الجزيرة على ضفاف النيل جنته الصغيرة حِما هوىً جميل يا فلك تجئ وقربنا تفئ تحكي عن المسالك الطوال أنت مع الصباح أغنية الرياح وقصة الخيرات والغلال,1958,الأخوين رحباني,الأخوين رحباني
بيقولوا زغير بلدي,بقولو زغير بلدي بيقولوا زغير بلدي بالغضب مسور بلدي الكرامة غضب والمحبة غضب والغضب الأحلى بلدي وبيقولوا قلال ونكون قلال بلدنا خير وجمال وبيقولو يقولوا شو هم يقولوا شوية صخر وتلال يا صخرة الفجر وقصر الندي يا بلدي يا طفل متوج عالمعركة غدي يا بلدي يا زغير وبالحق كبير وما بيعتدي يا بلدي,1977,الأخوين رحباني,الأخوين رحباني
بيني وبينك,بيني و بينك يا ليل في حب و غنيي على بابي بتقعد يا ليل و منسهر ليلي بيني و بينك في أسرار و بتعرف أحزاني تبقى إمرقلي عاهاك الدار و قلو ما ينساني فيق البيت العتيق غافي على الطريق و غافي حدو الزمان  يمكن بكرا الحبيب يمرق متل الغريب و ما يذكر اللي كان,1979,الياس رحباني,الأخوين رحباني
تبقى ميل,تبقى ميل تبقى اسأل متل الأول ضل اسأل الله لا يشغلك بال وديلي منك مرسال ... أسأل أسأل أنا ما بدي تجي و تقول أعذريني مشغول لفتة من بعيد بتكفيني و قلبي لك على طول لا توديلي الزهر سلال و بالشوق تجرح موال بس اسألني كيف الحال اسأل اسأل سهرات القمر الحلوين هجرونا من سنين زعلوا ناس و رضيوا ناس و نحنا المنسيين أيام تغرب و قبال عينيي عالدرب خيال و بلبل عاشق غط و قال اسأل اسأل,1970,الأخوين رحباني,الأخوين رحباني
